valor,yval,prediccion,error
10,9.48,11.418333,1.9383330535888668
10,10.056,10.849062,0.7930619659423837
10,9.66,10.969838,1.3098381423950194
10,11.748,11.007232,-0.7407682876586907
10,15.396,11.032101,-4.363899322509766
10,14.628,10.455376,-4.172624328613281
10,16.368,10.4488,-5.919199913024901
10,18.144,10.483029,-7.660970634460448
10,19.644,10.531579,-9.112420982360838
10,20.556,10.430597,-10.12540269470215
10,19.284,10.133343,-9.150657257080077
10,20.268,10.102219,-10.165781372070313
10,21.096,9.824211,-11.271788879394531
10,21.096,9.548918,-11.547082229614258
10,14.472,10.01852,-4.45347964477539
10,11.268,10.090131,-1.1778691940307624
10,11.556,9.648512,-1.9074881134033195
10,10.704,9.962278,-0.7417216339111334
10,11.784,10.137096,-1.6469035949707038
10,10.98,9.936528,-1.0434717941284184
10,10.572,9.911634,-0.6603655548095695
10,11.256,10.0834,-1.1726002273559573
10,11.292,10.349098,-0.9429017944335936
10,11.808,10.298187,-1.5098127441406248
11,10.056,10.382761,0.3267610015869149
11,9.66,9.973998,0.31399806976318345
11,11.748,10.075704,-1.6722963790893548
11,15.396,9.974675,-5.421324821472169
11,14.628,9.982947,-4.64505265045166
11,16.368,9.757786,-6.610214202880858
11,18.144,9.755468,-8.388531631469725
11,19.644,9.661827,-9.982172912597655
11,20.556,9.71467,-10.841329818725587
11,19.284,9.747033,-9.536966880798339
11,20.268,9.50795,-10.760050170898438
11,21.096,9.365501,-11.730498596191406
11,21.096,9.20916,-11.886840148925781
11,14.472,8.980824,-5.49117552947998
11,11.268,9.528643,-1.7393573455810554
11,11.556,9.40915,-2.1468498764038078
11,10.704,9.207702,-1.496298316955567
11,11.784,9.701821,-2.082178672790528
11,10.98,9.784477,-1.1955227661132817
11,10.572,9.597835,-0.9741654129028312
11,11.256,9.582999,-1.6730007705688479
11,11.292,9.758645,-1.5333549423217772
11,11.808,9.905952,-1.9020475463867186
11,12.108,10.011902,-2.0960981445312505
12,9.66,10.330357,0.6703565979003905
12,11.748,9.885333,-1.8626669387817376
12,15.396,10.033135,-5.362864585876466
12,14.628,9.997986,-4.63001416015625
12,16.368,9.92632,-6.441679924011229
12,18.144,9.768078,-8.375922149658201
12,19.644,9.704907,-9.939092582702635
12,20.556,9.694743,-10.861256843566895
12,19.284,9.76798,-9.516020378112792
12,20.268,9.754259,-10.51374089050293
12,21.096,9.52296,-11.57304029083252
12,21.096,9.299321,-11.796678825378418
12,14.472,9.281122,-5.190877792358398
12,11.268,9.067203,-2.2007974319458015
12,11.556,9.64672,-1.9092800674438468
12,10.704,9.569826,-1.1341738739013678
12,11.784,9.347819,-2.4361806716918952
12,10.98,9.845982,-1.1340184020996098
12,10.572,10.03291,-0.5390896530151359
12,11.256,9.755496,-1.500503974914551
12,11.292,9.795557,-1.4964429779052733
12,11.808,9.941972,-1.866028221130371
12,12.108,9.978909,-2.129091461181641
12,11.892,10.220791,-1.67120913696289
13,11.748,10.221909,-1.5260914306640618
13,15.396,9.810208,-5.585791679382325
13,14.628,9.932358,-4.695642211914063
