valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,diferencias_mayores_a_3,error_promedio_acumulativo,desviacion_estandar_acumulativa,error_relativo_porcentual
23,72.35614,61.62,10.736140136718753,10.736140136718753,0.0,1,10.736140136718753,0.0,17.423142058939877
24,72.49673,65.772,6.724726989746088,6.724726989746088,0.0,1,6.724726989746088,0.0,10.224300598653056
25,73.10164,64.416,8.685638793945316,8.685638793945316,0.0,1,8.685638793945316,0.0,13.483666781460066
26,70.75377,62.688,8.065768920898435,8.065768920898435,0.0,1,8.065768920898435,0.0,12.866527757941606
27,69.2639,60.708,8.555900756835939,8.555900756835939,0.0,1,8.555900756835939,0.0,14.093530929755453
28,68.06899,57.384,10.684992614746093,10.684992614746093,0.0,1,10.684992614746093,0.0,18.620160000603118
29,65.59148,52.8,12.79147644042969,12.79147644042969,0.0,1,12.79147644042969,0.0,24.226281137177445
30,63.055996,52.572,10.483995941162107,10.483995941162107,0.0,1,10.483995941162107,0.0,19.94216682104943
31,59.933884,52.296,7.637883666992188,7.637883666992188,0.0,1,7.637883666992188,0.0,14.605101091846773
32,56.40243,52.524,3.8784314880371085,3.8784314880371085,0.0,1,3.8784314880371085,0.0,7.384112954148786
33,53.723515,53.4,0.32351455688476705,0.32351455688476705,0.0,0,0.32351455688476705,0.0,0.6058325035295263
34,52.721405,52.236,0.4854050292968779,0.4854050292968779,0.0,0,0.4854050292968779,0.0,0.9292538274310397
35,51.80112,48.768,3.03312075805664,3.03312075805664,0.0,1,3.03312075805664,0.0,6.21948974339042
36,50.708195,47.124,3.5841947326660133,3.5841947326660133,0.0,1,3.5841947326660133,0.0,7.605879663581218
37,49.075905,41.664,7.411904846191405,7.411904846191405,0.0,1,7.411904846191405,0.0,17.7897101723104
38,46.467846,41.532,4.93584591674805,4.93584591674805,0.0,1,4.93584591674805,0.0,11.884440712578376
39,43.65684,42.06,1.5968412780761696,1.5968412780761696,0.0,0,1.5968412780761696,0.0,3.796579358241012
40,41.926823,42.624,-0.6971773376464867,0.6971773376464867,0.0,0,0.6971773376464867,0.0,1.6356450301390921
41,41.042927,39.564,1.478926788330078,1.478926788330078,0.0,0,1.478926788330078,0.0,3.738061844934987
42,41.524048,39.348,2.176047851562501,2.176047851562501,0.0,0,2.176047851562501,0.0,5.530262914411155
43,41.685307,36.504,5.181306549072268,5.181306549072268,0.0,1,5.181306549072268,0.0,14.193804922946166
44,41.20327,37.56,3.6432699584960915,3.6432699584960915,0.0,1,3.6432699584960915,0.0,9.699866769158923
45,40.402843,35.736,4.6668434753418,4.6668434753418,0.0,1,4.6668434753418,0.0,13.05922172414876
46,39.859768,35.76,4.099767913818361,4.099767913818361,0.0,1,4.099767913818361,0.0,11.46467537421242
47,39.061977,35.964,3.0979773864746107,3.0979773864746107,0.0,1,3.0979773864746107,0.0,8.614106847054307
48,38.641624,34.068,4.573624450683596,4.573624450683596,0.0,1,4.573624450683596,0.0,13.424986646364905
49,37.538574,31.728,5.8105742187499985,5.8105742187499985,0.0,1,5.8105742187499985,0.0,18.313710976897372
50,36.144436,29.196,6.948435882568358,6.948435882568358,0.0,1,6.948435882568358,0.0,23.799273470915047
51,33.93725,26.592,7.34524822998047,7.34524822998047,0.0,1,7.34524822998047,0.0,27.622022525498156
52,30.802849,24.336,6.46684881591797,6.46684881591797,0.0,1,6.46684881591797,0.0,26.573178895126443
53,27.307058,22.788,4.519058334350586,4.519058334350586,0.0,1,4.519058334350586,0.0,19.830868590269375
54,23.934958,22.56,1.3749575042724622,1.3749575042724622,0.0,0,1.3749575042724622,0.0,6.094669788441766
55,21.518505,20.304,1.2145050964355484,1.2145050964355484,0.0,0,1.2145050964355484,0.0,5.981605084887453
56,20.457136,19.452,1.005136154174803,1.005136154174803,0.0,0,1.005136154174803,0.0,5.167263798965674
