yval,predicciones,error
10.056,10.842746,0.7867457809448251
9.66,10.335474,0.6754740142822264
11.748,10.28143,-1.4665697555541986
15.396,10.414568,-4.9814320526123055
14.628,10.432404,-4.195596435546875
16.368,10.359199,-6.008801429748534
18.144,10.034495,-8.109504646301268
19.644,9.982174,-9.661826080322264
20.556,9.825921,-10.730078941345216
19.284,9.613706,-9.670294364929198
20.268,10.108713,-10.159286849975587
21.096,10.22834,-10.867659851074219
21.096,9.780044,-11.315956398010254
14.472,10.124536,-4.347464439392089
11.268,10.31478,-0.9532197647094733
11.556,10.098243,-1.4577572402954093
10.704,10.107162,-0.5968375244140631
11.784,10.289154,-1.4948459472656257
10.98,10.409727,-0.5702729034423832
10.572,10.508099,-0.0639013977050773
12.468,11.764114,-0.7038856201171875
10.62,11.193816,0.5738161849975594
9.48,11.2612,1.7811999511718746
10.056,11.375653,1.3196532669067391
9.66,11.45065,1.7906502151489256
11.748,10.754257,-0.9937427978515618
15.396,10.740697,-4.655303092956544
14.628,10.922659,-3.705341079711914
16.368,10.934348,-5.433651893615721
18.144,10.843282,-7.300718254089354
19.644,10.454139,-9.189861244201659
20.556,10.4817295,-10.074270492553712
19.284,10.224497,-9.059503158569335
20.268,10.024214,-10.243786209106446
21.096,10.398197,-10.697802825927734
21.096,10.621247,-10.474752708435059
14.472,10.013036,-4.4589642257690425
11.268,10.304561,-0.9634393386840827
11.556,10.511616,-1.044384246826171
10.704,10.338578,-0.3654217758178717
11.784,10.246868,-1.5371318664550788
10.98,10.480104,-0.4998955535888676
10.572,10.62912,0.057119873046875824
11.256,10.682471,-0.5735287246704104
10.62,11.978589,1.358589057922364
9.48,11.401359,1.921358604431152
10.056,11.430702,1.374702209472657
9.66,11.551279,1.891279067993164
11.748,11.657796,-0.0902040939331048
15.396,10.882252,-4.513748260498048
14.628,10.876838,-3.7511622695922853
16.368,11.077705,-5.290294616699217
18.144,11.076806,-7.067193931579588
19.644,10.973594,-8.670406288146971
20.556,10.563535,-9.9924652633667
19.284,10.638561,-8.645438751220702
20.268,10.330967,-9.93703305053711
21.096,10.124967,-10.971033378601074
21.096,10.448239,-10.64776067352295
14.472,10.682141,-3.7898586959838862
11.268,10.06419,-1.2038100891113288
11.556,10.28846,-1.267540222167968
10.704,10.49306,-0.2109398880004889
11.784,10.377338,-1.4066615905761726
10.98,10.236496,-0.7435040283203129
10.572,10.4960785,-0.07592150878906168
11.256,10.673933,-0.5820669708251955
11.292,10.687641,-0.6043588562011717
9.48,11.418333,1.9383330535888668
10.056,10.849062,0.7930619659423837
9.66,10.969838,1.3098381423950194
11.748,11.007232,-0.7407682876586907
15.396,11.032101,-4.363899322509766
14.628,10.455376,-4.172624328613281
16.368,10.4488,-5.919199913024901
18.144,10.483029,-7.660970634460448
19.644,10.531579,-9.112420982360838
20.556,10.430597,-10.12540269470215
19.284,10.133343,-9.150657257080077
20.268,10.102219,-10.165781372070313
21.096,9.824211,-11.271788879394531
21.096,9.548918,-11.547082229614258
14.472,10.01852,-4.45347964477539
11.268,10.090131,-1.1778691940307624
11.556,9.648512,-1.9074881134033195
10.704,9.962278,-0.7417216339111334
11.784,10.137096,-1.6469035949707038
10.98,9.936528,-1.0434717941284184
10.572,9.911634,-0.6603655548095695
11.256,10.0834,-1.1726002273559573
11.292,10.349098,-0.9429017944335936
11.808,10.298187,-1.5098127441406248
10.056,10.382761,0.3267610015869149
9.66,9.973998,0.31399806976318345
11.748,10.075704,-1.6722963790893548
15.396,9.974675,-5.421324821472169
14.628,9.982947,-4.64505265045166
16.368,9.757786,-6.610214202880858
18.144,9.755468,-8.388531631469725
19.644,9.661827,-9.982172912597655
20.556,9.71467,-10.841329818725587
19.284,9.747033,-9.536966880798339
20.268,9.50795,-10.760050170898438
21.096,9.365501,-11.730498596191406
21.096,9.20916,-11.886840148925781
14.472,8.980824,-5.49117552947998
11.268,9.528643,-1.7393573455810554
11.556,9.40915,-2.1468498764038078
10.704,9.207702,-1.496298316955567
11.784,9.701821,-2.082178672790528
10.98,9.784477,-1.1955227661132817
10.572,9.597835,-0.9741654129028312
11.256,9.582999,-1.6730007705688479
11.292,9.758645,-1.5333549423217772
11.808,9.905952,-1.9020475463867186
12.108,10.011902,-2.0960981445312505
9.66,10.330357,0.6703565979003905
