valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,diferencias_mayores_a_3,error_promedio_acumulativo,desviacion_estandar_acumulativa,error_relativo_porcentual
1799,4.1879997,37.86,-33.6720002746582,36.01712430381775,2.2054018386887004,4,36.7028323135376,2.1457588700534007,88.93819406935606
1799,4.1879997,38.148,-33.960000274658206,36.01712430381775,2.2054018386887004,4,36.01712430381775,2.2054018386887004,89.02170565864057
1800,4.2035294,42.276,-38.07247064208985,34.94611786651611,1.8110801268246508,4,38.07247064208985,0.0,90.0569368958507
1800,4.1879997,37.86,-33.6720002746582,34.94611786651611,1.8110801268246508,4,35.87223545837402,2.2002351837158223,88.93819406935606
1800,4.1879997,38.148,-33.960000274658206,34.94611786651611,1.8110801268246508,4,35.23482373046875,2.00996119303741,89.02170565864057
1800,4.1879997,38.268,-34.080000274658204,34.94611786651611,1.8110801268246508,4,34.94611786651611,1.8110801268246508,89.05613116613934
1801,4.203664,37.86,-33.65633617401123,33.851084249496466,0.1751178773523722,4,33.65633617401123,0.0,88.8968203222695
1801,4.1879997,38.148,-33.960000274658206,33.851084249496466,0.1751178773523722,4,33.80816822433472,0.15183205032348823,89.02170565864057
1801,4.1879997,38.268,-34.080000274658204,33.851084249496466,0.1751178773523722,4,33.898778907775885,0.178295371722427,89.05613116613934
1801,4.1879997,37.896,-33.708000274658204,33.851084249496466,0.1751178773523722,4,33.851084249496466,0.1751178773523722,88.94870243471132
1802,4.2038608,38.148,-33.944139240264896,33.34703501605988,0.9853509450213624,4,33.944139240264896,0.0,88.98012802837604
1802,4.1879997,38.268,-34.080000274658204,33.34703501605988,0.9853509450213624,4,34.012069757461546,0.067930517196654,89.05613116613934
1802,4.1879997,37.896,-33.708000274658204,33.34703501605988,0.9853509450213624,4,33.91071326319376,0.1536966101499307,88.94870243471132
1802,4.1879997,35.844,-31.656000274658204,33.34703501605988,0.9853509450213624,4,33.34703501605988,0.9853509450213624,88.31603692293885
1803,4.2041483,38.268,-34.0638517074585,33.12796313285828,0.919366344113747,4,34.0638517074585,0.0,89.0139325479735
1803,4.1879997,37.896,-33.708000274658204,33.12796313285828,0.919366344113747,4,33.88592599105835,0.17792571640014643,88.94870243471132
1803,4.1879997,35.844,-31.656000274658204,33.12796313285828,0.919366344113747,4,33.14261741892497,1.0611881582381788,88.31603692293885
1803,4.1879997,37.272,-33.0840002746582,33.12796313285828,0.919366344113747,4,33.12796313285828,0.919366344113747,88.76368393072066
1804,4.204484,37.896,-33.69151601409912,33.29887920951843,1.1231615586238886,4,33.69151601409912,0.0,88.90520375263648
1804,4.1879997,35.844,-31.656000274658204,33.29887920951843,1.1231615586238886,4,32.67375814437867,1.0177578697204588,88.31603692293885
1804,4.1879997,37.272,-33.0840002746582,33.29887920951843,1.1231615586238886,4,32.81050552113851,0.8532020536504524,88.76368393072066
1804,4.1879997,38.952,-34.7640002746582,33.29887920951843,1.1231615586238886,4,33.29887920951843,1.1231615586238886,89.24830631202045
1805,4.2048717,35.844,-31.639128345489503,32.80678229236602,1.2657993179089546,4,31.639128345489503,0.0,88.2689664811112
1805,4.1879997,37.272,-33.0840002746582,32.80678229236602,1.2657993179089546,4,32.36156431007385,0.7224359645843492,88.76368393072066
1805,4.1879997,38.952,-34.7640002746582,32.80678229236602,1.2657993179089546,4,33.16237629826863,1.2769268431757979,89.24830631202045
1805,4.1879997,35.928,-31.7400002746582,32.80678229236602,1.2657993179089546,4,32.80678229236602,1.2657993179089546,88.34335413788187
1806,4.2051787,37.272,-33.06682126235962,29.233705521583552,6.936287774743904,4,33.06682126235962,0.0,88.7175929983892
1806,4.1879997,38.952,-34.7640002746582,29.233705521583552,6.936287774743904,4,33.915410768508906,0.8485895061492919,89.24830631202045
1806,4.1879997,35.928,-31.7400002746582,29.233705521583552,6.936287774743904,4,33.190273937225335,1.2376252588993777,88.34335413788187
1806,4.1879997,21.552,-17.364000274658203,29.233705521583552,6.936287774743904,4,29.233705521583552,6.936287774743904,80.56793000491001
1807,4.205417,38.952,-34.746582843780516,26.38964591693878,7.103604221314017,4,34.746582843780516,0.0,89.20359119886146
1807,4.1879997,35.928,-31.7400002746582,26.38964591693878,7.103604221314017,4,33.24329155921936,1.5032912845611577,88.34335413788187
1807,4.1879997,21.552,-17.364000274658203,26.38964591693878,7.103604221314017,4,27.950194464365637,7.585535149343306,80.56793000491001
1807,4.1879997,25.896,-21.708000274658204,26.38964591693878,7.103604221314017,4,26.38964591693878,7.103604221314017,83.82761922558774
1808,4.20557,35.928,-31.72242977905273,23.917607650756835,5.23607437094933,4,31.72242977905273,0.0,88.29444939616103
1808,4.1879997,21.552,-17.364000274658203,23.917607650756835,5.23607437094933,4,24.543215026855467,7.1792147521972645,80.56793000491001
1808,4.1879997,25.896,-21.708000274658204,23.917607650756835,5.23607437094933,4,23.598143442789716,6.012243361408036,83.82761922558774
1808,4.1879997,29.064,-24.876000274658203,23.917607650756835,5.23607437094933,4,23.917607650756835,5.23607437094933,85.5904220845658
1809,4.2055535,21.552,-17.34644646835327,22.22861182308197,3.110763815684352,4,17.34644646835327,0.0,80.48648138619744
1809,4.1879997,25.896,-21.708000274658204,22.22861182308197,3.110763815684352,4,19.527223371505738,2.1807769031524664,83.82761922558774
1809,4.1879997,29.064,-24.876000274658203,22.22861182308197,3.110763815684352,4,21.310149005889894,3.08677386652102,85.5904220845658
1809,4.1879997,29.172,-24.984000274658204,22.22861182308197,3.110763815684352,4,22.22861182308197,3.110763815684352,85.64376893822228
1810,4.205273,25.896,-21.690726848602296,23.953681918144227,1.3350552606247585,4,21.690726848602296,0.0,83.76091615926126
1810,4.1879997,29.064,-24.876000274658203,23.953681918144227,1.3350552606247585,4,23.28336356163025,1.5926367130279537,85.5904220845658
1810,4.1879997,29.172,-24.984000274658204,23.953681918144227,1.3350552606247585,4,23.8502424659729,1.527644543352207,85.64376893822228
1810,4.1879997,28.452,-24.264000274658205,23.953681918144227,1.3350552606247585,4,23.953681918144227,1.3350552606247585,85.28047333986434
1811,4.2046905,29.064,-24.85930954360962,25.135827591896057,0.7984431165353685,4,24.85930954360962,0.0,85.532994576141
1811,4.1879997,29.172,-24.984000274658204,25.135827591896057,0.7984431165353685,4,24.921654909133913,0.06234536552429226,85.64376893822228
1811,4.1879997,28.452,-24.264000274658205,25.135827591896057,0.7984431165353685,4,24.70243669764201,0.31417279465445197,85.28047333986434
1811,4.1879997,30.624,-26.436000274658202,25.135827591896057,0.7984431165353685,4,25.135827591896057,0.7984431165353685,86.3244523075307
1812,4.2036977,29.172,-24.968302318573,25.910075785636902,1.425186919116875,4,24.968302318573,0.0,85.58995721435966
1812,4.1879997,28.452,-24.264000274658205,25.910075785636902,1.425186919116875,4,24.6161512966156,0.3521510219573969,85.28047333986434
1812,4.1879997,30.624,-26.436000274658202,25.910075785636902,1.425186919116875,4,25.222767622629803,0.9047874311043221,86.3244523075307
1812,4.1879997,32.16,-27.9720002746582,25.910075785636902,1.425186919116875,4,25.910075785636902,1.425186919116875,86.97761279433522
1813,4.202166,28.452,-24.249833919525148,26.804458685874934,1.666354473778785,4,24.249833919525148,0.0,85.23068297316586
1813,4.1879997,30.624,-26.436000274658202,26.804458685874934,1.666354473778785,4,25.342917097091675,1.0930831775665268,86.3244523075307
1813,4.1879997,32.16,-27.9720002746582,26.804458685874934,1.666354473778785,4,26.219278156280513,1.5272757776002561,86.97761279433522
1813,4.1879997,32.748,-28.5600002746582,26.804458685874934,1.666354473778785,4,26.804458685874934,1.666354473778785,87.2114335979547
1814,4.199946,30.624,-26.42405407333374,28.06201372432708,1.0549729567279982,4,26.42405407333374,0.0,86.28544302943358
1814,4.1879997,32.16,-27.9720002746582,28.06201372432708,1.0549729567279982,4,27.198027173995968,0.7739731006622304,86.97761279433522
1814,4.1879997,32.748,-28.5600002746582,28.06201372432708,1.0549729567279982,4,27.652018207550043,0.9008728864056255,87.2114335979547
1814,4.1879997,33.48,-29.2920002746582,28.06201372432708,1.0549729567279982,4,28.06201372432708,1.0549729567279982,87.4910402468883
1815,4.196778,32.16,-27.96322217941284,29.47580575084686,1.5798697267572543,4,27.96322217941284,0.0,86.95031772205486
1815,4.1879997,32.748,-28.5600002746582,29.47580575084686,1.5798697267572543,4,28.26161122703552,0.29838904762268115,87.2114335979547
1815,4.1879997,33.48,-29.2920002746582,29.47580575084686,1.5798697267572543,4,28.605074242909748,0.5434068785979979,87.4910402468883
1815,4.1879997,36.276,-32.08800027465821,29.47580575084686,1.5798697267572543,4,29.47580575084686,1.5798697267572543,88.45517773364816
1816,4.196921,32.748,-28.55107912826538,29.433769988059996,1.6202105988589852,4,28.55107912826538,0.0,87.18419179267552
1816,4.1879997,33.48,-29.2920002746582,29.433769988059996,1.6202105988589852,4,28.92153970146179,0.3704605731964108,87.4910402468883
